Referencia;Descripcion;PVP;NETOS;NETOS_GRANDE_CUENTAS;CANTIDAD;PRECIO_ESTANDAR;CONDICIONES_NETO;CONDICION_NETO_GC;PRECIO_GRUPO1;PRECIO_GRUPO3;PRECIO_CECOFERSA
101;Cartel PVC 21x29 Fotolum. SALIDA FLECHA IZQ.;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0101A;Cartel PVC 32x16 Fotolum Salida flecha derecha;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0101B;Cartel PVC 64x32 Fotolum Salida flecha derecha;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0101C;Cartel PVC 96x48 Fotolum Salida flecha derecha;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
102;Cartel PVC 21x29 Fotolum. SALIDA FLECHA IZQ.;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0102A;Cartel PVC 32x16 Fotolum Salida flecha izquierda;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0102B;Cartel PVC 64x32 Fotolum Salida flecha izquierda;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0102C;Cartel PVC 96x48 Fotolum Salida flecha izquierda;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
103;Cartel PVC 21x29 Fotolum. SALIDA FLECHA FRONTAL;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0103A;Cartel PVC 32x16 Fotolum Salida flecha arriba;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0103B;Cartel PVC 64x32 Fotolum Salida flecha arriba;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0103C;Cartel PVC 96x48 Fotolum Salida flecha arriba;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
104;Cartel PVC 21x29 Fotolum. SALIDA FLECHA ABAJO;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0104A;Cartel PVC 32x16 Fotolum Salida flecha abajo;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0104B;Cartel PVC 64x32 Fotolum Salida flecha abajo;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
